=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.08.10 18:05:49 =~=~=~=~=~=~=~=~=~=~=~=
seq,timestamp_us,pressure_pa,temperature_c,altitude_m,raw_altitude_m,climb_rate_mps
1,9144339,99703.66,27.56,-0.002,-0.009,0.000
3,9204388,99704.37,27.64,-0.019,-0.069,0.000
5,9264388,99707.73,27.71,-0.081,-0.353,0.000
331,19164396,99710.49,27.95,-0.673,-0.587,0.227
333,19224416,99713.44,27.95,-0.690,-0.836,0.612
335,19284408,99713.11,27.95,-0.736,-0.808,-0.263
337,19344449,99715.66,27.95,-0.782,-1.025,-0.676
339,19404397,99715.04,27.95,-0.845,-0.972,-0.823
341,19464396,99708.15,27.95,-0.774,-0.389,-0.731
343,19524416,99712.48,27.95,-0.793,-0.755,0.469
345,19584397,99715.41,27.95,-0.811,-1.003,0.151
347,19644433,99710.73,27.95,-0.787,-0.607,-0.168
349,19704397,99713.37,27.95,-0.770,-0.830,0.237
351,19764397,99712.11,27.95,-0.741,-0.723,0.454
353,19824416,99716.72,27.95,-0.811,-1.114,0.103
355,19884397,99713.66,27.95,-0.824,-0.855,-0.733
357,19944449,99714.77,27.95,-0.836,-0.949,-0.389
359,20004397,99710.49,27.95,-0.785,-0.587,-0.016
361,20064408,99713.96,27.95,-0.777,-0.880,0.554
363,20124416,99712.06,27.96,-0.772,-0.720,0.253
365,20184396,99713.57,27.96,-0.772,-0.847,0.044
367,20244422,99711.98,27.95,-0.762,-0.713,0.058
369,20304397,99715.07,27.96,-0.765,-0.974,0.172
371,20364397,99714.70,27.96,-0.777,-0.943,0.053
373,20424416,99714.98,27.96,-0.814,-0.966,-0.359
375,20484397,99712.32,27.96,-0.762,-0.741,-0.239
377,20544450,99714.09,27.96,-0.763,-0.892,0.481
379,20604397,99714.20,27.96,-0.799,-0.901,-0.070
381,20664397,99711.19,27.96,-0.756,-0.646,-0.307
383,20724416,99713.48,27.96,-0.751,-0.840,0.427
385,20784397,99711.22,27.96,-0.760,-0.649,0.053
387,20844431,99712.41,27.96,-0.775,-0.749,-0.240
389,20904397,99712.55,27.95,-0.791,-0.761,-0.194
391,20964396,99708.52,27.95,-0.747,-0.420,-0.138
393,21024416,99715.78,27.95,-0.780,-1.034,0.449
395,21084397,99714.34,27.95,-0.800,-0.912,-0.125
397,21144475,99711.36,27.95,-0.749,-0.660,-0.197
399,21204397,99709.48,27.95,-0.717,-0.501,0.470
401,21264396,99714.10,27.95,-0.762,-0.892,0.283
403,21324416,99715.14,27.95,-0.793,-0.980,-0.342
405,21384397,99713.27,27.95,-0.799,-0.822,-0.462
407,21444422,99712.34,27.95,-0.814,-0.744,-0.334
409,21504397,99712.92,27.95,-0.802,-0.793,-0.125
411,21564396,99712.30,27.95,-0.793,-0.740,0.169
413,21624427,99711.22,27.95,-0.757,-0.648,0.232
415,21684397,99713.20,27.95,-0.763,-0.815,0.419
417,21744450,99711.52,27.95,-0.760,-0.674,0.009
419,21804397,99710.81,27.95,-0.746,-0.614,-0.023
421,21864396,99711.05,27.95,-0.752,-0.634,0.096
423,21924416,99710.00,27.95,-0.750,-0.545,-0.079
425,21984397,99715.11,27.95,-0.793,-0.977,-0.015
427,22044422,99711.97,27.95,-0.777,-0.712,-0.274
429,22104397,99715.34,27.95,-0.789,-0.997,0.074
431,22164396,99711.73,27.95,-0.790,-0.691,-0.136
433,22224416,99712.19,27.95,-0.788,-0.730,-0.178
435,22284397,99714.25,27.95,-0.789,-0.905,0.143
437,22344450,99710.81,27.94,-0.741,-0.614,0.194
439,22404408,99713.30,27.94,-0.718,-0.825,0.612
441,22464396,99716.25,27.94,-0.777,-1.074,0.252
443,22524416,99713.03,27.94,-0.774,-0.802,-0.618
445,22584397,99709.82,27.94,-0.706,-0.530,0.027
447,22644433,99712.52,27.93,-0.725,-0.758,0.615
449,22704397,99712.13,27.94,-0.746,-0.726,-0.141
451,22764397,99712.39,27.93,-0.755,-0.747,-0.313
453,22824416,99712.92,27.93,-0.760,-0.792,-0.115
455,22884397,99707.97,27.93,-0.681,-0.373,0.166
457,22944450,99712.36,27.93,-0.680,-0.745,0.848
459,23004397,99712.17,27.93,-0.671,-0.729,0.367
461,23064396,99712.16,27.93,-0.690,-0.728,-0.019
463,23124416,99712.59,27.93,-0.706,-0.764,-0.271
465,23184405,99712.40,27.93,-0.704,-0.748,-0.178
467,23244422,99711.77,27.93,-0.701,-0.695,-0.021
469,23304397,99715.54,27.93,-0.754,-1.014,-0.105
471,23364396,99711.34,27.93,-0.774,-0.659,-0.724
473,23424416,99709.94,27.93,-0.761,-0.540,-0.493
475,23484397,99714.64,27.93,-0.771,-0.938,0.239
477,23544449,99713.05,27.93,-0.774,-0.803,0.048
479,23604397,99712.07,27.93,-0.752,-0.720,-0.051
481,23664396,99714.85,27.93,-0.802,-0.956,0.046
483,23724416,99711.46,27.93,-0.774,-0.669,-0.402
485,23784397,99712.90,27.93,-0.724,-0.791,0.447
487,23844423,99715.58,27.93,-0.791,-1.017,0.409
489,23904397,99714.52,27.93,-0.826,-0.928,-0.797
491,23964405,99714.52,27.93,-0.859,-0.928,-0.708
493,24024416,99717.09,27.93,-0.878,-1.145,-0.380
495,24084397,99712.80,27.93,-0.871,-0.782,-0.293
497,24144489,99712.20,27.92,-0.878,-0.732,-0.247
499,24204397,99709.73,27.93,-0.854,-0.523,-0.097
501,24264396,99716.36,27.93,-0.878,-1.083,0.338
503,24324416,99712.09,27.93,-0.851,-0.722,0.045
505,24384397,99714.80,27.93,-0.856,-0.952,0.160
507,24444423,99711.88,27.93,-0.845,-0.704,0.030
509,24504397,99713.66,27.92,-0.814,-0.855,0.233
511,24564396,99714.24,27.93,-0.826,-0.904,0.408
513,24624416,99713.17,27.92,-0.796,-0.814,0.051
515,24684397,99716.10,27.93,-0.844,-1.062,0.143
517,24744458,99712.39,27.92,-0.823,-0.747,-0.415
519,24804397,99715.00,27.93,-0.836,-0.968,0.043
521,24864396,99715.23,27.93,-0.847,-0.987,-0.038
523,24924416,99710.31,27.93,-0.798,-0.572,-0.092
525,24984397,99713.70,27.93,-0.806,-0.858,0.402
527,25044422,99713.98,27.93,-0.818,-0.882,0.083
529,25104397,99712.34,27.93,-0.793,-0.743,-0.071
531,25164396,99717.61,27.93,-0.866,-1.189,0.032
533,25224416,99712.35,27.93,-0.848,-0.744,-0.674
535,25284397,99712.94,27.93,-0.826,-0.794,0.005
537,25344450,99714.52,27.93,-0.838,-0.928,0.306
539,25404397,99711.45,27.93,-0.816,-0.667,-0.057
541,25464396,99713.61,27.93,-0.822,-0.850,0.147
543,25524427,99711.83,27.93,-0.788,-0.700,0.171
545,25584397,99712.41,27.93,-0.791,-0.750,0.285
547,25644433,99710.57,27.93,-0.779,-0.593,0.004
549,25704397,99715.93,27.93,-0.838,-1.047,-0.024
551,25764396,99712.27,27.93,-0.807,-0.737,-0.366
553,25824416,99713.42,27.93,-0.786,-0.835,0.265
555,25884397,99714.81,27.93,-0.822,-0.952,0.191
557,25944450,99710.55,27.93,-0.751,-0.592,-0.116
559,26004397,99713.20,27.93,-0.761,-0.816,0.607
561,26064396,99710.09,27.93,-0.754,-0.553,-0.021
563,26124416,99714.64,27.93,-0.775,-0.938,0.022
565,26184397,99714.17,27.93,-0.794,-0.898,-0.116
567,26244422,99715.17,27.92,-0.798,-0.983,-0.225
569,26304408,99713.95,27.92,-0.801,-0.879,-0.093
571,26364397,99712.66,27.92,-0.779,-0.771,-0.041
573,26424416,99712.95,27.92,-0.747,-0.794,0.375
575,26484397,99712.90,27.92,-0.727,-0.790,0.505
577,26544450,99711.40,27.92,-0.736,-0.663,0.114
579,26604397,99712.85,27.92,-0.734,-0.787,-0.065
581,26664396,99711.12,27.92,-0.712,-0.640,0.126
583,26724416,99713.38,27.91,-0.731,-0.831,0.155
585,26784397,99712.45,27.91,-0.748,-0.753,-0.215
587,26844422,99717.41,27.92,-0.840,-1.172,-0.522
589,26904397,99710.58,27.91,-0.786,-0.594,-0.822
591,26964396,99708.96,27.91,-0.785,-0.457,0.054
593,27024416,99713.10,27.91,-0.783,-0.808,0.218
595,27084408,99711.85,27.91,-0.806,-0.702,0.040
597,27144476,99710.77,27.91,-0.775,-0.610,-0.196
599,27204397,99711.77,27.91,-0.724,-0.695,0.610
601,27264396,99714.88,27.91,-0.765,-0.958,0.581
603,27324416,99713.71,27.91,-0.772,-0.859,-0.343
605,27384397,99711.98,27.91,-0.761,-0.713,-0.205
607,27444422,99711.88,27.91,-0.794,-0.705,-0.172
609,27504397,99714.53,27.91,-0.820,-0.929,-0.370
611,27564397,99711.73,27.91,-0.775,-0.691,-0.069
613,27624416,99709.17,27.91,-0.747,-0.475,0.339
615,27684397,99713.47,27.90,-0.775,-0.839,0.288
617,27744449,99707.07,27.90,-0.700,-0.297,0.055
619,27804397,99710.26,27.91,-0.702,-0.567,0.611
621,27864408,99714.84,27.90,-0.752,-0.954,0.176
623,27924416,99715.83,27.90,-0.807,-1.039,-0.570
625,27984397,99713.69,27.90,-0.847,-0.858,-0.956
627,28044422,99711.86,27.90,-0.824,-0.703,-0.578
629,28104397,99712.66,27.90,-0.781,-0.771,0.405
631,28164396,99712.70,27.90,-0.784,-0.774,0.531
633,28224416,99713.71,27.89,-0.816,-0.859,-0.128
635,28284397,99714.23,27.89,-0.816,-0.904,-0.274
637,28344450,99712.28,27.89,-0.806,-0.739,-0.047
639,28404397,99709.09,27.89,-0.757,-0.469,0.115
641,28464396,99711.43,27.89,-0.755,-0.666,0.518
643,28524416,99712.87,27.89,-0.783,-0.788,0.114
645,28584397,99715.48,27.89,-0.823,-1.009,-0.321
647,28644440,99711.52,27.89,-0.805,-0.674,-0.443
649,28704397,99713.57,27.88,-0.832,-0.847,-0.102
651,28764396,99712.04,27.88,-0.810,-0.717,-0.124
653,28824416,99709.47,27.88,-0.772,-0.500,0.220
655,28884397,99712.39,27.88,-0.735,-0.748,0.679
657,28944450,99709.95,27.89,-0.713,-0.541,0.597
659,29004397,99713.34,27.88,-0.765,-0.828,0.029
661,29064396,99713.55,27.88,-0.798,-0.846,-0.546
663,29124416,99712.41,27.89,-0.801,-0.749,-0.481
665,29184397,99712.94,27.89,-0.792,-0.794,-0.050
667,29244422,99711.24,27.89,-0.763,-0.650,0.198
669,29304397,99709.47,27.89,-0.720,-0.500,0.399
671,29364396,99711.16,27.89,-0.738,-0.644,0.391
673,29424427,99711.76,27.89,-0.753,-0.694,-0.117
675,29484397,99709.17,27.89,-0.723,-0.475,-0.115
677,29544450,99711.21,27.89,-0.722,-0.648,0.300
679,29604397,99716.62,27.89,-0.762,-1.105,0.202
681,29664397,99712.66,27.90,-0.735,-0.771,-0.206
683,29724416,99712.96,27.90,-0.763,-0.796,-0.098
685,29784397,99709.34,27.90,-0.710,-0.490,-0.156
687,29844422,99713.88,27.90,-0.742,-0.874,0.420
689,29904397,99716.48,27.90,-0.796,-1.094,-0.229
691,29964396,99708.94,27.90,-0.756,-0.455,-0.666
693,30024416,99713.78,27.90,-0.774,-0.865,0.140
695,30084397,99712.51,27.90,-0.748,-0.758,0.182
697,30144474,99709.27,27.90,-0.732,-0.484,0.124
699,30204408,99711.80,27.91,-0.717,-0.697,0.260
701,30264396,99712.10,27.91,-0.733,-0.723,0.241
703,30324416,99713.52,27.91,-0.741,-0.843,-0.122
705,30384397,99720.83,27.91,-0.825,-1.461,-0.132
707,30444422,99715.16,27.91,-0.865,-0.982,-1.080
709,30504397,99714.23,27.91,-0.833,-0.903,-0.691
711,30564396,99710.77,27.91,-0.840,-0.610,0.038
713,30624416,99710.46,27.91,-0.809,-0.584,-0.067
715,30684397,99709.92,27.91,-0.738,-0.538,0.699
717,30744450,99712.66,27.91,-0.752,-0.771,0.851
719,30804397,99710.90,27.90,-0.739,-0.621,0.048
721,30864396,99716.12,27.91,-0.795,-1.063,-0.007
723,30924416,99711.62,27.90,-0.788,-0.682,-0.529
725,30984408,99712.14,27.90,-0.737,-0.726,0.100
727,31044422,99717.81,27.90,-0.788,-1.207,0.607
729,31104397,99710.92,27.90,-0.743,-0.623,-0.306
731,31164396,99709.15,27.90,-0.696,-0.473,0.255
733,31224416,99707.87,27.90,-0.671,-0.365,0.546
735,31284397,99712.56,27.89,-0.675,-0.762,0.486
737,31344449,99715.09,27.89,-0.694,-0.976,0.259
739,31404397,99714.86,27.89,-0.768,-0.956,-0.524
741,31464396,99711.16,27.89,-0.769,-0.643,-1.057
743,31524416,99712.35,27.89,-0.719,-0.744,0.067
745,31584397,99715.74,27.89,-0.775,-1.031,0.472
747,31644433,99711.88,27.89,-0.748,-0.704,-0.432
749,31704397,99714.04,27.89,-0.763,-0.887,0.061
751,31764405,99712.98,27.88,-0.748,-0.798,0.008
753,31824416,99712.39,27.88,-0.746,-0.748,0.072
755,31884397,99712.86,27.88,-0.771,-0.787,-0.111
757,31944449,99711.79,27.88,-0.754,-0.697,-0.215
759,32004397,99714.20,27.88,-0.774,-0.900,0.116
761,32064396,99714.32,27.88,-0.780,-0.910,-0.101
763,32124416,99710.59,27.88,-0.743,-0.595,-0.058
765,32184397,99712.52,27.88,-0.743,-0.758,0.307
767,32244423,99711.52,27.88,-0.744,-0.674,0.080
769,32304397,99714.95,27.87,-0.778,-0.964,-0.078
771,32364397,99712.73,27.87,-0.757,-0.777,-0.189
773,32424416,99711.02,27.87,-0.723,-0.632,0.186
775,32484397,99712.30,27.88,-0.704,-0.740,0.484
777,32544458,99710.40,27.87,-0.691,-0.579,0.279
779,32604397,99711.16,27.87,-0.701,-0.643,0.049
781,32664397,99711.15,27.87,-0.681,-0.642,0.069
783,32724416,99713.04,27.87,-0.705,-0.802,0.170
785,32784397,99714.48,27.88,-0.740,-0.925,-0.275
787,32844422,99714.52,27.87,-0.766,-0.927,-0.487
789,32904397,99712.23,27.88,-0.773,-0.734,-0.481
791,32964396,99709.93,27.88,-0.719,-0.539,-0.031
793,33024416,99711.62,27.88,-0.722,-0.682,0.533
795,33084397,99712.94,27.88,-0.748,-0.794,0.028
797,33144476,99710.38,27.88,-0.720,-0.578,-0.186
799,33204397,99711.80,27.88,-0.729,-0.698,0.170
801,33264396,99711.45,27.88,-0.751,-0.668,-0.143
803,33324427,99709.76,27.88,-0.707,-0.525,-0.105
805,33384397,99715.39,27.88,-0.770,-1.001,0.303
807,33444422,99711.04,27.88,-0.739,-0.633,-0.403
809,33504397,99709.48,27.88,-0.733,-0.502,0.004
811,33564396,99708.56,27.88,-0.686,-0.423,0.236
813,33624416,99713.79,27.89,-0.740,-0.866,0.435
815,33684397,99714.25,27.89,-0.789,-0.905,-0.527
817,33744450,99714.03,27.89,-0.840,-0.886,-0.880
819,33804397,99712.37,27.89,-0.833,-0.745,-0.677
821,33864396,99712.06,27.89,-0.817,-0.719,0.015
823,33924416,99710.69,27.89,-0.777,-0.603,0.326
825,33984397,99711.34,27.89,-0.770,-0.659,0.464
827,34044422,99713.46,27.89,-0.773,-0.838,0.249
